"Subject","sqrtSCR"
"10",0.0982851666263077
"11",0.0842975760061046
"12",0.0196628908022095
"14",0.0408316748291692
"15",0.0632758632068394
"16",0.0964705862834388
"17",0.0363763122040481
"18",0.0662524896418649
"19",0.261151943969277
"20",0.0516933835606279
"21",0.0323169757253338
"22",0.153770990523413
"23",0.0304196651699309
"24",0.127128758244732
"28",0.078722337071576
"29",0.0797558425908601
"30",0.0209872817488715
"31",0.0482645510941841
"32",0.0640172006803035
"33",0.147069873957115
"34",0.0452326418582883
"35",0.0493306477469437
"36",0.170248952081802
"37",0.0523830738449796
"38",-0.0122122004412281
"40",0.0680484066165202
"41",0.0025962164250036
"42",0.0191516900178671
"43",0.0429545818948145
"45",0.0607932613938657
"46",0.076521329169697
"47",0.045875373042906
"49",0.00733344984600653
"50",-0.00631223066364781
"51",0.0545835730696251
"52",0.110503957688245
"53",0.0546871140786157
"54",0.0991454020880474
"56",-0.0101242206267282
"57",0.138842373856999
"58",0.152753441121972
"59",-0.0179576117753681
"60",0.0737292799029792
"61",0.116991840004065
"62",0.10935363821698
"63",-0.0264829589680937
"65",0.145599276527264
"66",0.0518328248271992
"67",0.0640546737671174
"68",-0.0118789069184673
"69",0.0589886540940348
"70",0.16543860595552
"71",0.0240307147420217
"74",0.0175537473337025
"76",0.00772079239159754
"78",0.0150003982985102
"81",0.10287086980055
"82",0.133833409618131
"83",0.071518627350191
"84",0.0540367965680126
"85",0.210262723670449
"86",0.116760849520646
"9",0.0714628783371268
